#Time (s),Channel 1 (V),Channel 2 (V)
-7.396e-05,0.9512970794392738,0.4757703923014864
-7.394e-05,0.9502914199254955,0.4747509305595501
-7.392e-05,0.9496209802496441,0.4740712893982597
-7.389999999999999e-05,0.9462687818703872,0.4733916482369693
-7.387999999999999e-05,0.9445926826807584,0.4716925453337428
-7.386e-05,0.9439222430049073,0.4706730835918077
-7.384e-05,0.9388939454360219,0.4689739806885816
-7.381999999999999e-05,0.9392291652739476,0.4679545189466461
-7.379999999999999e-05,0.9365474065705411,0.4672748777853554
-7.378e-05,0.9345360875429888,0.4669350572047106
-7.376e-05,0.9325247685154338,0.4659155954627748
-7.374e-05,0.931183889163731,0.4655757748821296
-7.371999999999999e-05,0.9271612511086215,0.4621775690756774
-7.37e-05,0.9244794924052183,0.4618377484950325
-7.368e-05,0.9228033932155887,0.4604784661724515
-7.366e-05,0.9187807551604803,0.4587793632692255
-7.363999999999999e-05,0.9184455353225547,0.4594590044305159
-7.362e-05,0.9144228972674481,0.4570802603660005
-7.36e-05,0.9107354790502636,0.4557209780434187
-7.358e-05,0.9077185005089324,0.4533422339789023
-7.355999999999999e-05,0.9057071814813783,0.4523227722369666
-7.353999999999999e-05,0.9033606426158971,0.4506236693337401
-7.352e-05,0.9003436640745672,0.449604207591805
-7.35e-05,0.8963210260194588,0.4492643870111598
-7.347999999999999e-05,0.8943097069919047,0.4475652841079337
-7.345999999999999e-05,0.891627948288498,0.4458661812047069
-7.344e-05,0.8889461895850949,0.4441670783014825
-7.342e-05,0.8855939912058367,0.4434874371401912
-7.34e-05,0.8815713531507284,0.4407688724950296
-7.337999999999999e-05,0.8802304737990239,0.4400892313337385
-7.336e-05,0.876207835743919,0.4383901284305139
-7.334e-05,0.8738612968784374,0.4366910255272872
-7.332e-05,0.8701738786612548,0.434652102043416
-7.329999999999999e-05,0.8674921199578493,0.4326131785595447
-7.328e-05,0.8631342620648172,0.4312538962369645
-7.326e-05,0.8594468438476326,0.4295547933337379
-7.324e-05,0.8560946454683757,0.4285353315918022
-7.321999999999999e-05,0.8554242057925243,0.428195511011157
-7.319999999999999e-05,0.8517367875753399,0.4251371257853498
-7.318e-05,0.8477141495202334,0.4241176640434147
-7.316e-05,0.843691511465125,0.4220787405595434
-7.313999999999999e-05,0.8400040932479425,0.4186805347530913
-7.311999999999999e-05,0.8376575543824608,0.4183407141724457
-7.31e-05,0.833634916327356,0.417321252430511
-7.308e-05,0.8289418385963946,0.4152823289466393
-7.306e-05,0.826260079892989,0.4135832260434132
-7.303999999999999e-05,0.8232431013516557,0.410524840817606
-7.302e-05,0.8185500236207002,0.4095053790756713
-7.3e-05,0.8148626054035154,0.4067868144305091
-7.298e-05,0.8125160665380355,0.4054275321079284
-7.295999999999999e-05,0.8078229888070758,0.404747890946638
-7.294e-05,0.8048060102657459,0.4030487880434127
-7.292e-05,0.801118592048562,0.4010098645595407
-7.29e-05,0.7960902944796766,0.3986311204950242
-7.287999999999999e-05,0.7913972167487169,0.3952329146885722
-7.285999999999999e-05,0.7887154580453094,0.3955727352692157
-7.284e-05,0.7843576001522773,0.3918347088821201
-7.282e-05,0.7806701819350947,0.3908152471401846
-7.279999999999999e-05,0.7769827637179121,0.3870772207530873
-7.277999999999999e-05,0.7732953455007276,0.3860577590111506
-7.276e-05,0.7692727074456212,0.3836790149466353
-7.274e-05,0.7655852892284385,0.3833391943659901
-7.271999999999999e-05,0.7608922114974788,0.3806206297208284
-7.269999999999999e-05,0.7558639139285914,0.3782418856563111
-7.268e-05,0.7515060560355614,0.3762029621724417
-7.266e-05,0.7471481981425254,0.3734843975272791
-7.264e-05,0.7414494608977886,0.3717852946240531
-7.261999999999999e-05,0.7380972625185317,0.3690667299788915
-7.26e-05,0.7334041847875741,0.366348165333731
-7.258e-05,0.7293815467324637,0.364988883011149
-7.256e-05,0.7270350078669838,0.3629499595272777
-7.253999999999999e-05,0.721336270622247,0.3609110360434066
-7.251999999999999e-05,0.7163079730533602,0.3605712154627596
-7.25e-05,0.7132909945120304,0.3568331890756641
-7.248e-05,0.7092683564569221,0.3544544450111476
-7.245999999999999e-05,0.7059161580776652,0.3527553421079216
-7.243999999999999e-05,0.7018935200225539,0.3510562392046944
-7.242e-05,0.6955243431019686,0.3483376745595339
-7.24e-05,0.6921721447227117,0.3462987510756628
-7.237999999999999e-05,0.6854677479641978,0.343580186430501
-7.235999999999999e-05,0.6811098900711617,0.3405218012046933
-7.234e-05,0.6764168123402062,0.3384828777208239
-7.232e-05,0.6720589544471701,0.3361041336563065
-7.23e-05,0.6670306568782847,0.3347448513337258
-7.227999999999999e-05,0.6640136783369535,0.3320262866885642
-7.226e-05,0.6589853807680705,0.3293077220434037
-7.224e-05,0.6526162038474799,0.3272687985595313
-7.222e-05,0.6492640054682229,0.32522987507566
-7.219999999999999e-05,0.6435652682234861,0.3225113104304984
-7.218e-05,0.6371960913029009,0.3191131046240478
-7.216e-05,0.632838233409864,0.3167343605595299
-7.214e-05,0.6308269143823099,0.3160547193982395
-7.211999999999999e-05,0.6244577374617216,0.3126565135917875
